group,run_id,A,P,rho_U,case,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_MAE,std_MAE,found_stable_links,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,lag_accuracy,sign_accuracy,alpha_correlation
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,0.074718398501227,3.635608086780765e-05,0.2733466555106849,6.650075153601857e-05,0.16999679450211447,6.120834586171226e-05,8,7,1,0,0.086431384,0.086431384,1.0,1.0,0.9977388766632564
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,0.09906294233360338,4.4110519859783974e-05,0.3147426526915054,7.007365984937649e-05,0.21273288581972577,5.4333926179801896e-05,7,4,3,0,0.72745407,0.39673328,1.0,1.0,0.8261979301077809
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,0.06601364909413647,0.00013431051415284455,0.2569310817896958,0.0002613513212100477,0.173651576933261,0.00029526077468603406,7,4,3,0,0.7418849,0.42039922,1.0,1.0,0.8042197512881661
