group,run_id,A,P,rho_U,case,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_MAE,std_MAE,found_stable_links,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,lag_accuracy,sign_accuracy,alpha_correlation
main_sweep,A_1p0_P_200_rho_0p3,1.0,200,0.3,observed_U,0.07583139355064782,7.27696330526671e-05,0.2753749736182645,0.0001321188401687858,0.17383936323645116,0.0002167836195195684,13,7,6,0,0.15841141,0.1031171,1.0,1.0,0.9341266529323033
main_sweep,A_1p0_P_200_rho_0p3,1.0,200,0.3,hidden_U,0.10049333371772187,8.75526708212484e-05,0.317006805390149,0.0001380364230154491,0.21772025839370843,0.0001787589361246416,8,4,4,0,0.7051987,0.26493979,1.0,1.0,0.8170223655535894
main_sweep,A_1p0_P_200_rho_0p3,1.0,200,0.3,hidden_U_without_seasonal,0.0646443509188328,1.101494399094673e-05,0.25425253282830385,2.1661603891413626e-05,0.17146387604472038,7.094090872872285e-05,8,4,4,0,0.7464968,0.3195575,1.0,1.0,0.8001545563630003
