group,run_id,A,P,rho_U,case,source,target,lag,mean_alpha,std_alpha,ground_truth_alpha,stable,true_link,link_type
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,Z,Z,1,0.432982861995697,0.022789258509874344,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,U,1,0.6876802444458008,0.010881335474550724,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,X,1,0.829081654548645,0.005060418043285608,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,X,X,1,0.5985870361328125,0.005546608939766884,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,Y,2,0.8210054636001587,0.010369743220508099,0.800000011920929,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,Y,Y,1,0.5165606737136841,0.012134335935115814,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,U,Z,3,0.1470315307378769,0.008677090518176556,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,X,Z,1,0.6515916585922241,0.032754085958004,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,Z,Z,1,0.4186319410800934,0.005678375251591206,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,X,1,1.1097732782363892,0.021312259137630463,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,X,2,-0.21597547829151154,0.012550209648907185,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,X,3,-0.043941594660282135,0.008644302375614643,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Y,1,0.7493993639945984,0.01688299886882305,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Y,2,-0.27099335193634033,0.02285400964319706,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Y,3,-0.04387926310300827,0.010954324156045914,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,Y,Y,1,0.48790884017944336,0.010044347494840622,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,X,Z,1,0.6543537378311157,0.024051671847701073,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,Z,Z,1,0.4152444899082184,0.006489044986665249,0.4000000059604645,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,X,1,1.1443068981170654,0.037668004631996155,0.6000000238418579,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,X,2,-0.22695985436439514,0.014164203777909279,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Y,1,0.765518069267273,0.01650294102728367,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Y,2,-0.35028722882270813,0.03198825940489769,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Y,3,-0.04668285697698593,0.010675756260752678,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,Y,Y,1,0.517141580581665,0.01493254117667675,0.5,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,X,Z,1,0.6269828081130981,0.012324318289756775,0.699999988079071,True,True,true_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,Y,Z,4,-0.04511498287320137,0.012657040730118752,0.0,True,False,false_positive
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,Z,Z,1,0.43732672929763794,0.012136252596974373,0.4000000059604645,True,True,true_positive
