B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,regime,source,target,true_lag,estimated_best_lag,correct_lag,ground_truth_alpha,estimated_alpha_true_lag,estimated_alpha_best_lag,correct_sign
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.6937525272369385,0.6937525272369385,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.6449263095855713,0.6449263095855713,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X4,X4,1,1,True,0.5,0.49019670486450195,0.49019670486450195,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.3907817304134369,0.3907817304134369,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.6971468925476074,0.6971468925476074,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.5957285165786743,-0.5957285165786743,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X4,1,1,True,0.5,0.47395190596580505,0.47395190596580505,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.3913654685020447,0.3913654685020447,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X2,1,1,True,0.699999988079071,0.700794517993927,0.700794517993927,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.5949726104736328,0.5949726104736328,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X4,X4,1,1,True,0.5,0.516112208366394,0.516112208366394,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.3708624243736267,0.3708624243736267,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.704653263092041,0.704653263092041,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.5849893093109131,0.5849893093109131,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X4,X4,1,1,True,0.5,0.4801190495491028,0.4801190495491028,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.3556551933288574,0.3556551933288574,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.7090979814529419,0.7090979814529419,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X2,X3,1,3,False,0.6000000238418579,0.010097846388816833,-0.03204605355858803,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X4,X4,1,1,True,0.5,0.5122509002685547,0.5122509002685547,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.35421356558799744,0.35421356558799744,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.7065979242324829,0.7065979242324829,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X2,X3,1,3,False,-0.6000000238418579,-0.031231407076120377,-0.04088035970926285,True
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X4,X4,1,1,True,0.5,0.5090043544769287,0.5090043544769287,True
