B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,model,accuracy,macro_f1,weighted_f1,train_windows,test_windows,train_R0,train_R1,test_R0,test_R1,gap_windows,tn,fp,fn,tp
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,tree,0.9849246231155779,0.9844047508475364,0.98491508417488,2791,1194,1449,1342,704,490,10,697,7,11,479
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,majority_baseline,0.5896147403685092,0.37091675447839834,0.43739597178022177,2791,1194,1449,1342,704,490,10,704,0,490,0
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,logistic,0.9765494137353434,0.9758008477520672,0.9765636721350249,2791,1194,1449,1342,704,490,10,688,16,12,478
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,tree,0.9731993299832495,0.9723269201241117,0.9732075602649395,2791,1194,1449,1342,704,490,10,687,17,15,475
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,majority_baseline,0.5896147403685092,0.37091675447839834,0.43739597178022177,2791,1194,1449,1342,704,490,10,704,0,490,0
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,logistic,0.7621440536013401,0.73502162986672,0.7502158672468473,2791,1194,1449,1342,704,490,10,646,58,226,264
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,tree,0.8517587939698492,0.839578865867868,0.8475013722928649,2791,1194,1449,1342,704,490,10,673,31,146,344
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,majority_baseline,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,logistic,0.8417085427135679,0.8406569003415413,0.8414808675608612,2791,1194,1345,1446,635,559,10,551,84,105,454
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,tree,0.8458961474036851,0.8451296366789325,0.8458231463822801,2791,1194,1345,1446,635,559,10,547,88,96,463
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,majority_baseline,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,logistic,0.46817420435510887,0.31888191671420424,0.2985845752818093,2791,1194,1345,1446,635,559,10,0,635,0,559
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,tree,0.4765494137353434,0.358046292927025,0.3404902750294964,2791,1194,1345,1446,635,559,10,28,607,18,541
